product_A,price_A,tier_A,product_B,price_B,tier_B,pair_sales_count,avg_buyer_score,high_intent_ratio,bundle_strategy_type
Google Campus Bike,39.125,High,Google Magnet,7.77,Low,5,5272.8,100,Add-on Strategy (업셀링)
Google Campus Bike Tote Navy,10.998,Low,Google Super G Tumbler (Red Lid),27.863,Mid,5,7680.6,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,Google Metallic Notebook Set,5.998,Low,5,6211.2,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Hemp Tote,21.156,Mid,5,6807.2,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Heathered Pom Beanie,14.996,Low,5,5839,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Emoji Sticker Pack,4.999,Low,5,5100,100,General Bundle
Google Cloud Pen,2.986,Low,Google Pen Bright Blue,1.998,Low,5,7996.6,100,General Bundle
Google Confetti Pen White,1.993,Low,Google Pen Grey,1.993,Low,5,3165.2,100,General Bundle
Google Crew Combed Cotton Sock,16.989,Mid,Google Speckled Beanie Navy,19.996,Mid,5,4176,100,Volume Builder (크로스셀링)
Google Crew Combed Cotton Sock,16.989,Mid,Noogler Android Figure,15.997,Low,5,5371.4,100,General Bundle
Google Crew Socks,15.996,Low,Google Heathered Pom Beanie,14.996,Low,5,2153.2,100,General Bundle
Google Crew Socks,15.996,Low,Google Crewneck Sweatshirt Navy,54.971,High,5,5013.6,100,Add-on Strategy (업셀링)
Google Crew Striped Athletic Sock,17,Mid,Noogler Android Figure,15.997,Low,5,5265,100,General Bundle
Google Crewneck Sweatshirt Navy,54.971,High,Google Leather Strap Hat Blue,16.985,Mid,5,2211,100,General Bundle
Google Crewneck Sweatshirt Navy,54.971,High,Google Red Speckled Tee,29.944,High,5,4440.9,100,Premium Set (VIP 타겟)
Google Crewneck Sweatshirt Navy,54.971,High,Google NYC Campus Mug,11.852,Low,5,2971.6,100,Add-on Strategy (업셀링)
Google Crewneck Sweatshirt Navy,54.971,High,Google F/C Longsleeve Ash,,,5,2140.2,100,General Bundle
Google Crewneck Sweatshirt Navy,54.971,High,Google Dino Game Tee,39.628,High,5,2716.1,100,Premium Set (VIP 타겟)
Google Dino Game Tee,39.628,High,Google Red Speckled Tee,29.944,High,5,4610,100,Premium Set (VIP 타겟)
Google F/C Longsleeve Ash,,,Google Red Speckled Tee,29.944,High,5,3980.4,100,General Bundle
Google F/C Longsleeve Ash,,,Super G Unisex Joggers,36.973,High,5,2462,100,General Bundle
Google Flat Front Bag Grey,29.997,High,Google Pen White,2,Low,5,4395,100,Add-on Strategy (업셀링)
Google Heathered Pom Beanie,14.996,Low,Google Zip Hoodie F/C,59.99,High,5,2346.6,100,Add-on Strategy (업셀링)
Google Heathered Pom Beanie,14.996,Low,Google Perk Thermal Tumbler,19.848,Mid,5,6249.4,100,General Bundle
Google Incognito Techpack V2,85.968,High,Google Land & Sea Cotton Cap,16.999,Mid,5,4073.6,100,General Bundle
Google Kirkland Campus Mug,10.934,Low,Google PNW Campus Mug,10.531,Low,5,8208.4,100,General Bundle
Google Kirkland Campus Mug,10.934,Low,Google NYC Campus Mug,11.852,Low,5,8265.6,100,General Bundle
Google Kirkland Campus Sticker,1.992,Low,Google Seattle Campus Sticker,1.971,Low,5,10873.2,100,General Bundle
Google LA Campus Mug,10.551,Low,Google PNW Campus Mug,10.531,Low,5,7085,100,General Bundle
Google LA Campus Mug,10.551,Low,Google Seattle Campus Mug,10.777,Low,5,7383.8,100,General Bundle
Google LA Campus Sticker,1.972,Low,Google Seattle Campus Sticker,1.971,Low,5,11167.6,100,General Bundle
Google LA Campus Sticker,1.972,Low,Google NYC Campus Mug,11.852,Low,5,7876,100,General Bundle
Google LA Campus Zip Hoodie,54.397,High,Google NYC Campus Zip Hoodie,54.226,High,5,3349.6,100,Premium Set (VIP 타겟)
Google Land & Sea Cotton Cap,16.999,Mid,Google Seaport Tote,59.2,High,5,2741.2,100,General Bundle
Google Land & Sea Journal Set,14.997,Low,Google Land & Sea Mug,16.968,Mid,5,5975.6,100,General Bundle
Google Land & Sea Mug,16.968,Mid,Google Speckled Beanie Navy,19.996,Mid,5,3420,100,Volume Builder (크로스셀링)
Google Laptop and Cell Phone Stickers,2.999,Low,Google Pen White,2,Low,5,4656,100,General Bundle
Google Laptop and Cell Phone Stickers,2.999,Low,Noogler Android Figure,15.997,Low,5,4465.6,100,General Bundle
Google Large Tote White,12.997,Low,Google Perk Thermal Tumbler,19.848,Mid,5,7000.2,100,General Bundle
Google Light Pen Blue,2.962,Low,Google Pen White,2,Low,5,4361.6,100,General Bundle
Google Magnet,7.77,Low,Google Pen White,2,Low,5,2649.6,100,General Bundle
Google Metallic Notebook Set,5.998,Low,Google Pen White,2,Low,5,3831.8,100,General Bundle
Google Metallic Notebook Set,5.998,Low,YouTube Jotter Task Pad,2.999,Low,5,4124.8,100,General Bundle
Google NYC Campus Bottle,19.87,Mid,Google NYC Campus Mug,11.852,Low,5,4097.2,100,General Bundle
Google NYC Campus Ladies Tee,23.962,Mid,Google NYC Campus Zip Hoodie,54.226,High,5,5192.9,100,General Bundle
