item_name,item_category,abandoned_count,total_lost_revenue,avg_lost_value
Google Sherpa Zip Hoodie Charcoal,"",5,414,69
Google Sherpa Zip Hoodie Charcoal,Women's,31,414,11
Google Sherpa Zip Hoodie Charcoal,Apparel,25,414,13
Google Canteen Bottle Black,Drinkware,41,408,8
Google Sustainable Pencil Pouch,Home/Eco-Friendly/,24,406,15
Google Large Tote White,Lifestyle/Bags/,302,403,1
Android Super Hero 3D Framed Art,Home/Sale/,985,400,0
Google Land & Sea Nalgene Water Bottle,Home/Eco-Friendly/,188,400,1
Google Pen White,Home/Stationery/Writing/,117,400,1
Google Land & Sea Women's Eco Tee,Women's,29,400,6
Google Land & Sea Unisex Tee,Home/Apparel/Men's / Unisex/,40,400,3
Google Thermal Tumbler Navy,Lifestyle/,216,396,1
Google Women's Tech Fleece Vest Charcoal,Google,7,385,32
Google Toddler Tee White,Home/Apparel/Kids/,167,384,1
Google Pocket Tee Grey,Home/Apparel/Men's / Unisex/,41,377,3
Google Campus Bike Corkbase Mug Blue,Drinkware,41,374,6
Google Utility Bag Grey,Sale,14,371,25
White Google Shoreline Bottle,Home/Shop by Brand/Google/,96,364,1
Google Tee Blue,Sale,97,362,3
Google Youth FC Longsleeve Charcoal,Home/Apparel/Kids/,269,360,1
YouTube Standards Zip Hoodie Black,Home/Apparel/Men's / Unisex/,37,360,4
Google Raincoat Navy,Home/Apparel/Men's / Unisex/,31,360,5
Google Youth Badge Tee Olive,Home/Apparel/Kids/,169,360,1
Google F/C Long Sleeve Tee Ash,Women's,25,360,9
Google Women's Tech Fleece Grey,Women's,18,356,15
Google Crew Socks,Home/Apparel/,397,352,0
Android Small Trace Journal Black,Home/Sale/,991,351,0
Google Cambridge Campus Unisex Tee,Home/Campus Collection/,246,350,1
Android Iconic Backpack,Bags,5,350,70
#IamRemarkable Ladies T-Shirt,Home/Apparel/Women's/,438,348,0
Google Badge Heavyweight Pullover Black,Google,17,348,16
Google Sherpa Zip Hoodie Navy,Google,13,345,19
Google Campus Bike Tote Navy,Lifestyle/Bags/,306,341,1
Google Land & Sea Tech Taco,Home/New/,424,336,0
Android Iconic Glass Bottle Green,Home/Sale/,6,336,37
Google Clear Pen 4-Pack,Home/Stationery/Writing/,115,335,1
Google Crewneck Sweatshirt Green,Home/Apparel/Women's/,25,330,6
Google Crewneck Sweatshirt Navy,Women's,34,330,8
Google Crewneck Sweatshirt Green,"",5,330,55
Google Crewneck Sweatshirt Grey,"",6,330,55
Google Red Speckled Tee,Men's / Unisex,18,330,15
Google SF Campus Unisex Tee,Home/Campus Collection/,11,325,11
Google Leather Strap Hat Blue,Home/Apparel/,457,323,0
Android Pocket Toddler Tee Navy,Home/Apparel/Kids/,267,322,1
Google Campus Bike,"",7,320,40
Android Pocket Tee Navy,Home/Shop by Brand/Android/,74,319,2
Google Men's Tech Fleece Vest Charcoal,Home/Apparel/Men's / Unisex/,39,316,3
Google Women's Tech Fleece Vest Charcoal,Home/Apparel/Women's/,18,316,8
Google Laptop and Cell Phone Stickers,Home/Stationery/Stickers/,158,315,1
Google Women's Black Tee,Sale,49,315,5
Google Hemp Tote,Eco-Friendly,4,315,63
Google Sunnyvale Campus Mug,Sale,31,314,8
Google Bear Baby Blanket Beige,Home/Shop by Brand/Google/,271,312,0
Google Tee F/C Black,"",11,308,22
Google Tonal Tee Coral,Home/Sale/,73,308,1
Google Mesh Bag Blue,Lifestyle/Bags/,306,300,1
Google Incognito Messenger Bag,Lifestyle/Bags/,306,300,1
Google Kids Playful Tee,Home/Apparel/Kids/,28,300,4
Google Tudes Recycled Tee,Men's / Unisex,40,300,6
Google Utensil Set,Eco-Friendly,23,300,13
Google F/C Long Sleeve Tee Charcoal,Apparel,25,300,8
#IamRemarkable Water Bottle,Home/Shop by Brand/#IamRemarkable/,7,300,25
Google Seaport Tote,Bags,11,300,23
Google Speckled Beanie Navy,Apparel,1,300,300
Google Flat Front Bag Grey,Bags,1,300,300
Google Men's Softshell Moss,Home/Apparel/Men's / Unisex/,39,297,3
Google SF Campus Zip Hoodie,"",3,290,58
Google Camp Mug Gray,Drinkware,47,290,5
Google Sunnyvale Campus Zip Hoodie,Home/Campus Collection/,17,290,8
BLM Unisex Pullover Hoodie,"",1,290,58
Google Cotopaxi Shell,Sale,17,288,10
Google Mountain View Campus Zip Hoodie,New,13,287,15
Google Tonal Tee Coral,Sale,63,286,3
Google Split Seam Tee Olive,Men's / Unisex,58,286,4
Google Speckled Beanie Navy,Home/Apparel/,368,280,0
Google Youth F/C Pullover Hoodie,Home/Apparel/Kids/,23,280,4
Gift Card - $25.00,Home/Gift Cards/,3,279,56
Google Sherpa Zip Hoodie Navy,"",3,276,69
Google Sherpa Zip Hoodie Charcoal,Home/Apparel/Women's/,13,276,9
Google Sherpa Zip Hoodie Charcoal,Google,9,276,31
